Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
155,12,14,34,246.288,91,0,1,2,1,0,0,95,196,25,
225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,
118,13,18,50,246.288,91,0,1,1,1,0,0,98,178,31,
179,26,9,30,246.288,91,0,3,0,0,0,0,56,171,19,
235,11,14,37,237.656,99,0,3,1,0,0,1,88,172,29,
225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,
235,16,8,32,237.656,99,0,3,0,0,0,0,75,178,25,
118,10,10,37,237.656,99,0,1,0,0,0,0,83,172,28,
235,20,13,43,237.656,99,0,1,1,1,0,0,106,167,38,
179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,
291,31,12,40,237.656,99,0,1,1,1,0,1,73,171,25,
225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,
300,26,13,43,237.656,99,0,1,2,1,1,1,77,175,25,
225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,
179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,
118,13,18,50,237.656,99,0,1,1,1,0,0,98,178,31,
118,13,18,50,237.656,99,0,1,1,1,0,0,98,178,31,
118,10,10,37,237.656,99,0,1,0,0,0,0,83,172,28,
118,13,18,50,237.656,99,1,1,1,1,0,0,98,178,31,
179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,
378,49,11,36,237.656,99,1,1,2,0,1,4,65,174,21,
179,22,17,40,237.656,99,0,2,2,0,1,0,63,170,22,
155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,
235,16,8,32,237.656,99,0,3,0,0,0,0,75,178,25,
291,31,12,40,237.656,99,0,1,1,1,0,1,73,171,25,
179,22,17,40,237.656,99,0,2,2,0,1,0,63,170,22,
225,26,9,28,237.656,99,0,1,1,0,0,2,69,169,24,
330,16,4,28,237.656,99,0,2,0,0,0,0,84,182,25,
235,16,8,32,237.656,99,0,3,0,0,0,0,75,178,25,
291,31,12,40,237.656,99,0,1,1,1,0,1,73,171,25,
179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,
361,52,3,28,237.656,99,0,1,1,1,0,4,80,172,27,
155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,
179,22,17,40,237.656,99,0,2,2,0,1,0,63,170,22,
155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,
225,26,9,28,237.656,99,0,1,1,0,0,2,69,169,24,
118,15,24,46,275.089,96,0,1,2,1,1,0,75,175,25,
179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,
118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,
118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,
378,49,11,36,275.089,96,0,1,2,0,1,4,65,174,21,
118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,
233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,
179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,
235,29,12,48,275.089,96,1,1,1,0,1,5,88,163,33,
268,11,8,33,275.089,96,1,2,0,0,0,0,79,178,25,
118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,
179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,
291,31,12,40,275.089,96,0,1,1,1,0,1,73,171,25,
179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,
118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,
233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,
118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,
118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,
233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,
235,20,13,43,264.604,93,0,1,1,1,0,0,106,167,38,
233,51,1,31,264.604,93,0,2,1,1,0,8,68,178,21,
228,14,16,58,264.604,93,0,1,2,0,0,1,65,172,22,
118,10,10,37,264.604,93,0,1,0,0,0,0,83,172,28,
228,14,16,58,264.604,93,0,1,2,0,0,1,65,172,22,
189,29,13,33,264.604,93,0,1,2,0,0,2,69,167,25,
118,10,10,37,264.604,93,0,1,0,0,0,0,83,172,28,
361,52,3,28,264.604,93,0,1,1,1,0,4,80,172,27,
225,26,9,28,264.604,93,0,1,1,0,0,2,69,169,24,
369,17,12,31,264.604,93,0,1,3,1,0,0,70,169,25,
289,36,13,33,264.604,93,0,1,2,1,0,1,90,172,30,
235,11,14,37,264.604,93,0,3,1,0,0,1,88,172,29,
118,14,13,40,271.219,95,0,1,1,1,0,8,98,170,34,
231,35,14,39,271.219,95,0,1,2,1,0,2,100,170,35,
179,45,14,53,271.219,95,0,1,1,0,0,1,77,175,25,
